"Type";"Title";"Group";"Publish Date";"Status";"Description";"pdf"
"ECC Decisions";"ECC/DEC/(14)02";"ECC PT1";"2014-06-27";"Active";"ECC Decision of 27 June 2014 on Harmonised technical and regulatory conditions for the use of the band 2300-2400 MHz for Mobile/Fixed Communications Networks (MFCN)

";"http://docdb.cept.org/download/1504"
"ECC Decisions";"ECC/DEC/(14)01";"WGFM";"2014-06-27";"Active";"ECC Decision of 27 June 2014 on the withdrawal of <a href=""https://www.ecodocdb.dk/document/362"">ECC Decision (02)07</a> on on the harmonised European use of the bands 1670 - 1675 MHz and 1800 - 1805 MHz and on the withdrawal of the ERC Decision (92)01 “Decision on the frequency bands to be designated for the coordinated introduction of the Terrestrial Flight Telecommunications System”";"http://docdb.cept.org/download/1507"
"ECC Decisions";"ECC/DEC/(13)03";"ECC PT1";"2018-03-02";"Active";"ECC Decision of 8 November 2013 on the harmonised use of the frequency band 1452-1492 MHz for Mobile/Fixed Communications Networks Supplemental Downlink (MFCN SDL).

Amended on 3 July 2015 and amended on 2 March 2018.

";"http://docdb.cept.org/download/1508"
"ECC Decisions";"ECC/DEC/(13)02";"WGFM";"2013-06-21";"Active";"ECC Decision of 8 March 2013 on the withdrawal of <a href=""https://www.ecodocdb.dk/document/369"">ECC Decision (03)02</a>";"http://docdb.cept.org/download/1511"
"ECC Decisions";"ECC/DEC/(13)01";"FM44";"2021-07-02";"Active";"ECC Decision of 8 March 2013 on the use, free circulation, and exemption from individual licensing of Earth stations on mobile platforms (ESOMPs) in the frequency bands available for use by uncoordinated FSS Earth stations within the ranges 17.3-20.2 GHz and 27.5-30.0 GHz. 

Amended on 26 October 2018 and amended on 2 July 2021.
";"http://docdb.cept.org/download/3452"
"ECC Decisions";"ECC/DEC/(12)04";"WGFM";"2012-11-02";"Active";"ECC Decision of 2 November 2012 on the withdrawal of <a href=""https://www.ecodocdb.dk/document/356"">ECC Decision (02)01</a>";"http://docdb.cept.org/download/1521"
"ECC Decisions";"ECC/DEC/(12)03";"SRDMG";"2020-03-06";"Active";"ECC Decision of 2 November 2012 on the harmonised conditions for UWB applications onboard aircraft.  

Corrected on 6 March 2020.";"http://docdb.cept.org/download/1522"
"ECC Decisions";"ECC/DEC/(12)02";"WGFM";"2012-06-01";"Active";"ECC Decision of 1 June 2012 on the withdrawal of <a href=""https://www.ecodocdb.dk/document/762"">ERC Decision (98)10</a>";"http://docdb.cept.org/download/1526"
"ECC Decisions";"ECC/DEC/(12)01";"FM44";"2016-11-18";"Active";"ECC Decision of 1 June 2012 on Exemption from individual licensing and free circulation and use of terrestrial and satellite mobile terminals operating under the control of networks.

Corrected on 3 July 2015 and amended on 18 November 2016.
";"http://docdb.cept.org/download/1527"
"ECC Decisions";"ECC/DEC/(11)07";"WGNaN";"2011-12-09";"Active";"ECC Decision of 9 December 2011 on the withdrawal of 
ECTRA/DEC(96)01 Regarding a European Telephony Numbering Space (ETNS)
ECTRA/DEC(96)48 Regarding a European Telephony Numbering Space (ETNS)
ECC/DEC/(04)07 on European Telephony Numbering Space (ETNS) Conventions

";"http://docdb.cept.org/download/1530"
"ECC Decisions";"ECC/DEC/(11)06";"ECC PT1";"2018-10-26";"Active";"ECC Decision of 9 December 2011 on harmonised frequency arrangements and least restrictive technical conditions (LRTC) for mobile/fixed communications networks (MFCN) operating in the band 3400-3800 MHz.

Amended on 14 March 2014 and amended 26 October 2018.";"http://docdb.cept.org/download/1531"
"ECC Decisions";"ECC/DEC/(11)05";"WGFM";"2011-12-09";"Active";"ECC Decision of 9 December 2011 on the withdrawal of ERC Decisions ERC/DEC/(01)02, ERC/DEC/(01)03, ERC/DEC/(01)07, ERC/DEC/(01)10 and ERC/DEC/(01)16

";"http://docdb.cept.org/download/1535"
"ECC Decisions";"ECC/DEC/(11)04";"FM54";"2011-12-09";"Withdrawn";"ECC Decision of 9 December 2011 on Exemption from individual licensing of digital terminals of narrowband and wideband PMR/PAMR/PPDR systems and free circulation and use of digital terminals of narrowband and wideband PPDR systems operating in the 80 MHz, 160 MHz, 380-470 MHz and 800/900 MHz bands";"http://docdb.cept.org/download/1537"
"ECC Decisions";"ECC/DEC/(11)03";"SRDMG";"2016-06-17";"Active";"ECC Decision of 24 June 2011 on the harmonised use of frequencies for Citizens' Band (CB) radio equipment.

Amended on 17 June 2016.";"http://docdb.cept.org/download/1540"
"ECC Decisions";"ECC/DEC/(11)02";"SRDMG";"2019-07-05";"Active";"ECC Decision of 11 March 2011 on industrial Level Probing Radars (LPR) operating in frequency bands 6-8.5 GHz, 24.05-26.5 GHz, 57-64 GHz and 75-85 GHz.

Updated on 17 November 2017 and amended on 5 July 2019.
";"http://docdb.cept.org/download/1543"
"ECC Decisions";"ECC/DEC/(11)01";"FM44";"2017-03-03";"Active";"ECC Decision of 11 March 2011 on the protection of the Earth exploration satellite service (passive) in the 1400-1427 MHz band. 

Amended on 3 March 2017.";"http://docdb.cept.org/download/1544"
"ECC Decisions";"ECC/DEC/(10)02";"FM44";"2010-11-12";"Active";"ECC Decision of 12 November 2010 on compatibility between the fixed satellite service in the 30-31 GHz band and the Earth exploration satellite service (passive) in the 31.3-31.5 GHz band";"http://docdb.cept.org/download/1547"
"ECC Decisions";"ECC/DEC/(10)01";"FM44";"2010-11-12";"Active";"ECC Decision of 12 November 2010 on sharing conditions in the 10.6-10.68 GHz band between the fixed service, mobile service and Earth exploration satellite service (passive)";"http://docdb.cept.org/download/1549"
"ECC Decisions";"ECC/DEC/(09)06";"WGNaN";"2010-06-16";"Active";"ECC Decision of 30 October 2009 on Reserving the National Short Message Service (SMS) Numbering Range Beginning with '116' for Harmonised SMS Numbers for Harmonised Services of Social Value";"http://docdb.cept.org/download/1551"
"ECC Decisions";"ECC/DEC/(09)05";"WGFM";"2009-10-30";"Active";"ECC Decision of 30 October 2009 on the withdrawal of ERC/ECC Decisions <br> ERC/DEC/(96)04, ECC/DEC/(04)01 and ECC/DEC/(04)02";"http://docdb.cept.org/download/1553"
"ECC Decisions";"ECC/DEC/(09)04";"FM44";"2009-10-30";"Active";"ECC Decision of 30 October 2009 on exemption from individual licensing and the free circulation and use of transmit-only mobile satellite terminals operating in the Mobile-Satellite Service allocations in the 1613.8 - 1626.5 MHz band

";"http://docdb.cept.org/download/1555"
"ECC Decisions";"ECC/DEC/(09)03";"ECC PT1";"2009-10-30";"Active";"ECC Decision of 30 October 2009 on harmonised conditions for Mobile/Fixed Communications Networks (MFCN) operating in the band 790-862 MHz

";"http://docdb.cept.org/download/1558"
"ECC Decisions";"ECC/DEC/(09)02";"FM44";"2012-11-02";"Active";"ECC Decision of 26 June 2009  on the harmonisation of the bands 1610-1626.5 MHz and 2483.5-2500 MHz for use by systems in the Mobile-Satellite Service.

Amended on 2 November 2012.

";"http://docdb.cept.org/download/1560"
"ECC Decisions";"ECC/DEC/(09)01";"SRDMG";"2019-07-05";"Active";"ECC Decision of 13 March 2009 on the harmonised use of the 63.72-65.88 GHz frequency band for Intelligent Transport Systems (ITS).

Amended on 4 March 2016 and amended on 5 July 2019.";"http://docdb.cept.org/download/1564"
"ECC Decisions";"ECC/DEC/(08)08";"ECC PT1";"2017-06-30";"Active";"ECC Decision of 31 October 2008 on the harmonised use of GSM systems in the 900 MHz and 1800 MHz bands, UMTS systems in the 2 GHz band and LTE systems in the 1800 MHz and 2.6 GHz bands on board vessels.

Amended on 4 March 2016 and updated on 30 June 2017.
";"http://docdb.cept.org/download/1566"
"ECC Decisions";"ECC/DEC/(08)07";"WGFM";"2008-06-27";"Active";"ECC Decision of 27 June 2008 on the withdrawal of ERC/DEC/(98)03, ERC/DEC/(98)17, ERC/DEC/(98)18 and ERC/DEC/(98)24

";"http://docdb.cept.org/download/1570"
"ECC Decisions";"ECC/DEC/(08)06";"WGFM";"2008-06-27";"Active";"ECC Decision of 27 June 2008 on the withdrawal of ERC/DEC/(00)03, ERC/DEC/(00)04 and ERC/DEC/(00)05

";"http://docdb.cept.org/download/1573"
"ECC Decisions";"ECC/DEC/(08)05";"WGFM";"2019-03-08";"Active";"ECC Decision of 27 June 2008 on the harmonisation of frequency bands for the implementation of digital Public Protection and Disaster Relief (PPDR) narrow band and wide band radio applications in bands within the 380-470 MHz range.  

Amended on 17 June 2016  and amended on 8 March 2019.";"http://docdb.cept.org/download/1574"
"ECC Decisions";"ECC/DEC/(08)04";"WGFM";"2008-03-14";"Active";"ECC Decision of 14 March 2008 on the withdrawal of ERC/DEC/(01)04, ERC/DEC/(01)09, ERC/DEC/(01)13, ERC/DEC/(01)15 and ERC/DEC(01)18";"http://docdb.cept.org/download/1577"
"ECC Decisions";"ECC/DEC/(08)03";"WGRA";"2008-03-14";"Active";"ECC Decision of 14 March 2008 on the withdrawal of ERC/DEC/(98)23 on Exemption from Individual Licensing of ERMES paging receivers

";"http://docdb.cept.org/download/1579"
"ECC Decisions";"ECC/DEC/(08)02";"WGFM";"2008-03-14";"Active";"ECC Decision of 14 March 2008 on the withdrawal of ERC/DEC(97)06, ERC/DEC/(01)01, ERC/DEC/(01)05, ERC/DEC/(01)06, ERC/DEC/(01)14, ERC/DEC/(01)21";"http://docdb.cept.org/download/1581"
"ECC Decisions";"ECC/DEC/(08)01";"SRDMG";"2020-03-06";"Active";"ECC Decision of 14 March 2008 on the harmonised use of Safety-Related Intelligent Transport Systems (ITS) in the 5875-5935 MHz frequency band. 

Amended on 3 July 2015 and amended on 6 March 2020.

";"http://docdb.cept.org/download/1583"
"ECC Decisions";"ECC/DEC/(07)05";"";"2007-07-21";"Withdrawn";"ECC Decision of 21 December 2007 on exemption from individual licensing of land mobile satellite terminals operating in the Mobile-Satellite Service allocations in the frequency range 1-3 GHz";"http://docdb.cept.org/download/1585"
"ECC Decisions";"ECC/DEC/(07)04";"";"2014-06-01";"Withdrawn";"ECC Decision of 21 December 2007 on free circulation and use of mobile satellite terminals operating in the Mobile-Satellite Service allocations in the frequency range 1-3 GHz";"http://docdb.cept.org/download/1586"
"ECC Decisions";"ECC/DEC/(07)03";"WGNaN";"2010-06-16";"Active";"ECC Decision of 6 July 2007 on Reserving the National Numbering Range beginning with '116' for Harmonised Numbers for Harmonised Services of Social Value";"http://docdb.cept.org/download/1588"
"ECC Decisions";"ECC/DEC/(07)02";"WGFM";"2007-03-30";"Withdrawn";"ECC Decision of 30 March 2007 on availability of frequency bands between 3400-3800 MHz for the harmonised implementation of Broadband Wireless Access systems (BWA)";"http://docdb.cept.org/download/1590"
"ECC Decisions";"ECC/DEC/(07)01";"SRDMG";"2019-03-08";"Active";"ECC Decision of 30 March 2007 on the harmonised use, exemption from individual licensing and free circulation of Material Sensing Devices using Ultra-Wideband (UWB) technology.

Amended 26 June 2009, corrected 18 November 2016 and amended 8 March 2019.

";"http://docdb.cept.org/download/1591"
"ECC Decisions";"ECC/DEC/(06)13";"ECC PT1";"2019-03-08";"Active";"ECC Decision of 1 December 2006 on the designation of the bands 880-915 MHz, 925-960 MHz, 1710-1785 MHz and 1805-1880 MHz for terrestrial UMTS, LTE and WiMAX systems. 

Amended on 21 June 2013, amended on 2 March 2018 and amended on 8 March 2019.

";"http://docdb.cept.org/download/1595"
"ECC Decisions";"ECC/DEC/(06)12";"";"2008-10-31";"Withdrawn";"ECC Decision of 1 December 2006 and amended 31 October 2008 on supplementary regulatory provisions to Decision ECC/DEC/(06)04 for UWB devices using mitigation techniques<br>
";"http://docdb.cept.org/download/1597"
"ECC Decisions";"ECC/DEC/(06)10";"FM44";"2017-03-03";"Active";"ECC Decision of 1 December 2006 on transitional arrangements for the Fixed Service and Tactical Radio Relay Systems in the Bands 1980 2010 MHz and 2170 2200 MHz in order to facilitate the Harmonised Introduction and Development of Systems in the Mobile Satellite Service including those supplemented by a Complementary Ground Component.

Amended on 3 March 2017.  
";"http://docdb.cept.org/download/1599"
"ECC Decisions";"ECC/DEC/(06)09";"FM44";"2007-09-15";"Active";"ECC Decision of 1 December 2006 on the designation of the bands 1980-2010 MHz and 2170-2200 MHz for use by systems in the Mobile-Satellite Service including those supplemented by a Complementary Ground Component (CGC)";"http://docdb.cept.org/download/1601"
"ECC Decisions";"ECC/DEC/(06)08";"SRDMG";"2018-10-26";"Active";"ECC Decision of 1 December 2006 on the conditions for use of the radio spectrum by Ground- and Wall- Probing Radar (GPR/WPR) imaging systems. 

Updated on 26 October 2018.";"http://docdb.cept.org/download/1602"
"ECC Decisions";"ECC/DEC/(06)07";"ECC PT1";"2017-06-30";"Active";"ECC Decision of 18 November 2016 on the harmonised use of airborne GSM and LTE systems in the frequency bands 1710-1785 MHz and 1805-1880 MHz, and airborne UMTS systems in the frequency bands 1920-1980 MHz and 2110-2170 MHz. 

Amended on 18 November 2016 and updated on 30 June 2017.
";"http://docdb.cept.org/download/1605"
"ECC Decisions";"ECC/DEC/(06)06";"FM54";"2013-11-08";"Withdrawn";"ECC Decision of 7 July 2006 on the availability of frequency bands for the introduction of Narrow Band Digital Land Mobile PMR/PAMR in the 80 MHz, 160 MHz and 400 MHz bands, amended on 8 November 2013 ";"http://docdb.cept.org/download/1608"
"ECC Decisions";"ECC/DEC/(06)05";"WGFM";"2006-07-12";"Active";"ECC Decision of 7 July 2006 on the harmonised frequency bands to be designated for Air-Ground-Air operation (AGA) of the Digital Land Mobile Systems  for the Emergency Services";"http://docdb.cept.org/download/1610"
"ECC Decisions";"ECC/DEC/(06)04";"SRDMG";"2019-03-08";"Active";"ECC Decision of 24 March 2006 on the harmonised use, exemption from individual licensing and free circulation of devices using Ultra-Wideband (UWB) technology in bands below 10.6 GHz. 

Amended on 9 December 2011 and amended on 8 March 2019.";"http://docdb.cept.org/download/1611"
"ECC Decisions";"ECC/DEC/(06)03";"FM44";"2019-03-08";"Active";"ECC Decision of 24 March 2006 on Exemption from Individual Licensing of High e.i.r.p. Satellite Terminals (HEST) with e.i.r.p. above 34 dBW operating within the frequency bands 10.70-12.75 GHz or 19.70-20.20 GHz space-to-Earth and 14.00-14.25 GHz or 29.50-30.00 GHz Earth-to-space. 

Amended on 8 March 2019.";"http://docdb.cept.org/download/1613"
"ECC Decisions";"ECC/DEC/(06)02";"FM44";"2006-03-30";"Active";"ECC Decision of 24 March 2006 on Exemption from Individual Licensing of Low e.i.r.p. Satellite Terminals (LEST) operating within the frequency bands 10.70–12.75 GHz or 19.70–20.20 GHz space-to-Earth and 14.00–14.25 GHz or 29.50–30.00 GHz Earth-to-Space";"http://docdb.cept.org/download/1616"
"ECC Decisions";"ECC/DEC/(06)01";"ECC PT1";"2019-03-08";"Active";"ECC Decision of 24 March 2006  on the harmonised utilisation of the bands1920-1980 MHz and 2110-2170 MHz for mobile/fixed communications networks (MFCN) including terrestrial IMT. 

Amended on 2 November 2012 and amended on 8 March 2019.

";"http://docdb.cept.org/download/1618"
"ECC Decisions";"ECC/DEC/(05)12";"";"2015-07-03";"Withdrawn";"ECC Decision of 28 October 2005 on harmonised frequencies, technical characteristics, exemption from individual licensing and free carriage and use of digital PMR 446 applications operating in the frequency band 446.1-446.2 MHz";"http://docdb.cept.org/download/1620"
"ECC Decisions";"ECC/DEC/(05)11";"FM44";"2019-03-08";"Active";"ECC Decision of 24 June 2005 on the free circulation and use  of Aircraft Earth Stations (AES) in the frequency bands 14-14.5 GHz (Earth-to-space), 10.7-11.7GHz (space-to-Earth) and 12.5-12.75 GHz (space-to-Earth).

Amended on 6 March 2015 and amended on 8 March 2019.
";"http://docdb.cept.org/download/1622"
"ECC Decisions";"ECC/DEC/(05)10";"FM44";"2019-03-08";"Active";"ECC Decision of 24 June 2005 on the free circulation and use of Earth Stations on board Vessels (ESV) operating in fixed satellite service networks in the frequency bands 14-14.5 GHz (Earth-to-space), 10.7-11.7 GHz (space-to-Earth) and 12.5-12.75 GHz (space-to-Earth). 

Amended on 8 March 2019.
";"http://docdb.cept.org/download/1654"
"ECC Decisions";"ECC/DEC/(05)09";"FM44";"2019-03-08";"Active";"ECC Decision of 24 June 2005 on the free circulation and use of Earth Stations on board Vessels (ESV) operating in Fixed Satellite service networks in the frequency bands 5 925-6 425 MHz (Earth-to-space) and 3 700-4 200 MHz (space-to-Earth).

Amended on 4 March 2016, updated on 30 June 2017 and amended on 8 March 2019.";"http://docdb.cept.org/download/1657"
"ECC Decisions";"ECC/DEC/(05)08";"FM44";"2013-03-08";"Active";"ECC Decision of 24 June 2005 on the availability of frequency bands for high density applications in the Fixed-Satellite Service  (space-to-Earth and Earth-to-space).

Amended on 8 March 2013.

";"http://docdb.cept.org/download/1661"
"ECC Decisions";"ECC/DEC/(05)05";"ECC PT1";"2019-07-05";"Active";"ECC Decision of 18 March 2005 on harmonised utilisation of spectrum for Mobile/Fixed Communications Networks (MFCN) operating within the band 2500-2690 MHz. 

Amended on 3 July 2015 and amended on 5 July 2019.

";"http://docdb.cept.org/download/1664"
"ECC Decisions";"ECC/DEC/(05)04";"ECC";"2005-03-18";"Active";"ECC Decision of 18 March 2005 on the withdrawal of ERC/DEC(97)09 and ECTRA/DEC(97)01 - ERC/DEC(99)22 and ECTRA/DEC(99)05
";"http://docdb.cept.org/download/1666"
"ECC Decisions";"ECC/DEC/(05)03";"WGFM";"2005-03-16";"Active";"ECC Decision of 18 March 2005 on the withdrawal of the ERC/DEC(94)02 ""Decision on the frequency band to be designated for the coordinated introduction of the European Radio Messaging System (ERMES)""

";"http://docdb.cept.org/download/1670"
"ECC Decisions";"ECC/DEC/(05)02";"SRDMG";"2019-07-05";"Active";"ECC Decision of 18 March 2005 on the use of the frequency band 169.4-169.8125 MHz.

Amended on 5 September 2007, amended on 12 November 2010, amended on 8 November 2013, updated on 17 November 2017 and amended on 5 July 2019.
";"http://docdb.cept.org/download/1673"
"ECC Decisions";"ECC/DEC/(05)01";"FM44";"2019-03-08";"Active";"ECC Decision of 18 March 2005 on the use of the band 27.5-29.5 GHz by the Fixed Service and uncoordinated Earth stations of the Fixed-Satellite Service (Earth-to-space). 

Amended on 8 March 2013 and amended on 8 March 2019.

";"http://docdb.cept.org/download/1674"
"ECC Decisions";"ECC/DEC/(04)10";"SRDMG";"2021-03-05";"Active";"ECC Decision of 12 November 2004 on the frequency bands to be designated for the temporary introduction of Automotive Short Range Radars (SRR). 

Amended on 1 June 2012, updated on 2 March 2018 and amended on 5 March 2021.";"http://docdb.cept.org/download/1678"
